src,dst,weight
집,550,0.36295050382614136
집,서성,0.3604367971420288
집,어더,0.36041656136512756
집,닻,0.3589176833629608
도,배드,0.38698339462280273
도,해피,0.3820224404335022
도,허쉬,0.3777431845664978
도,아무,0.3695831298828125
도,한텐,0.36920061707496643
도,심지,0.3652760088443756
도,다주,0.3576643168926239
도,의지,0.34847766160964966
도,안 내,0.34294477105140686
도,구도,0.3419754207134247
?!,김정우,0.3570726811885834
?!,여자도,0.3556770384311676
?!,남아,0.3526766002178192
?!,패러디,0.3446633815765381
?!,엔조이 커플,0.3446058928966522
?!,거래,0.33870115876197815
?!,중학생,0.3357597887516022
?!,Balance,0.33341675996780396
?!,eyes,0.327158123254776
?!,숨막히는,0.32680028676986694
0,6.10,0.47904759645462036
0,2021,0.475109338760376
0,서류상 아빠,0.46949249505996704
0,3.14,0.4673876166343689
0,뉴스투데이,0.4638408422470093
0,퇴출,0.46358397603034973
0,슬기로운 폐급생활,0.4560629725456238
0,뉴스데스크,0.44768577814102173
0,비스,0.4425358176231384
0,5041,0.4380594789981842
나,얼마,0.49868839979171753
나,한이재,0.3816804587841034
나,방기,0.38110560178756714
나,초대박,0.37833166122436523
나,80년대,0.3723122775554657
나,을지,0.3707919418811798
나,ZZ,0.3652384579181671
나,조심,0.3631807267665863
나,알잖아,0.3612993061542511
나,스크럽,0.35923466086387634
기,다리,0.4236585795879364
기,진통,0.38287025690078735
기,지키,0.3707770109176636
기,구만,0.34736379981040955
기,싼샤댐,0.3451220989227295
기,애플이,0.3448484539985657
기,탕,0.3414139747619629
기,태일,0.3413163125514984
기,순사,0.3406291902065277
기,지방,0.3405308723449707
ㅐ,ㅉ,0.5149716138839722
ㅐ,욤,0.440583735704422
ㅐ,감크루,0.4359516501426697
ㅐ,6번,0.4096134305000305
ㅐ,인증샷,0.40647783875465393
ㅐ,니고,0.40527164936065674
ㅐ,칰,0.397861123085022
ㅐ,2월,0.39621543884277344
ㅐ,5번,0.391560435295105
ㅐ,다섯,0.38702863454818726
’,‘,0.8386365175247192
’,Perseverance,0.6010444164276123
’,Go!,0.5858815908432007
’,춘호,0.5566909313201904
’,NASA,0.5560098886489868
’,프레스,0.5504387021064758
’,수퍼,0.5407266020774841
’,Misfit,0.5381497144699097
’,6월 13일,0.5372486710548401
’,사이클,0.5331199169158936
던,농협,0.40699511766433716
던,사가,0.4049198031425476
던,초토화,0.40396609902381897
던,부대,0.39888885617256165
던,용의자,0.3979441821575165
던,예뻐,0.3896559476852417
던,조선,0.38913848996162415
던,신뢰,0.38834038376808167
던,ㅆ,0.38784241676330566
던,수산시장,0.3839612901210785
전,MBC 뉴스데스크,0.35721850395202637
전,격,0.3466315269470215
전,해트트릭,0.34541723132133484
전,흥국생명,0.34430286288261414
전,진성호,0.3411094546318054
전,지적,0.3407805562019348
전,완,0.3391830325126648
전,스크린골프,0.3337790369987488
전,코다리,0.33360886573791504
전,경남,0.33205652236938477
차,ㅈ,0.4545140862464905
차,STEP,0.42459455132484436
차,아와,0.41277578473091125
차,소르,0.4105977416038513
차,동거동락,0.4086279273033142
차,예서,0.3962162137031555
차,김준수,0.3947063088417053
차,SKILL,0.39201006293296814
차,아라,0.39017775654792786
차,에이전트,0.38243094086647034
ㅈ,마,0.4602859914302826
ㅈ,차,0.4545140862464905
ㅈ,이하,0.431776762008667
ㅈ,김준수,0.4217446446418762
ㅈ,아와,0.40053290128707886
ㅈ,도구,0.3993450403213501
ㅈ,ㅝ,0.39765575528144836
ㅈ,배그,0.3935980498790741
ㅈ,코이티비,0.3865112066268921
ㅈ,속세,0.38192835450172424
지,않,0.5071914792060852
지,액체,0.37112465500831604
지,참,0.3597807288169861
지,관종,0.3555516004562378
지,노가다,0.3466242849826813
지,나치,0.3463597297668457
지,보낼 수,0.3448246717453003
지,츄,0.34358829259872437
지,무서움,0.3291501998901367
지,태권V,0.3288745582103729
BTS,방탄소년단,0.6695798635482788
BTS,Dynamite,0.6461284756660461
BTS,Butter,0.5829071998596191
BTS,！,0.566217839717865
BTS,MTV Unplugged,0.5456636548042297
BTS,Life Goes On,0.53620845079422
BTS,B-side,0.5327627658843994
BTS,Fix You,0.5326560139656067
BTS,MTV,0.5283072590827942
BTS,America,0.5274987816810608
이유,돌아가,0.36119544506073
이유,경질,0.3493628203868866
이유,달수네,0.34803271293640137
이유,눈알,0.3459363579750061
이유,관심,0.34316620230674744
이유,알수,0.3395630419254303
이유,무리뉴,0.33918461203575134
이유,섹터,0.3374945819377899
이유,임재현,0.33734673261642456
이유,생물,0.3364371955394745
:,유언장,0.4206394851207733
:,사원,0.4152364730834961
:,비기,0.4020916223526001
:,임나,0.3963276743888855
:,어디에도,0.3945716619491577
:,대기업,0.39242303371429443
:,박이,0.3895353376865387
:,인어왕자,0.38825297355651855
:,Road,0.37847766280174255
:,Blue & Grey,0.37785542011260986
회,다스뵈이다,0.5837063789367676
회,김어준,0.5835235714912415
회,즉문즉설,0.551703929901123
회,51,0.5500001907348633
회,법륜스님,0.5430731177330017
회,타깃,0.5344011783599854
회,꼬꼬무,0.5226266384124756
회,48,0.5216525793075562
회,스트레이트,0.5142177939414978
회,386,0.5098430514335632
화,46,0.4534740149974823
화,시즌1,0.447775274515152
